system:index,Lat,Long,UA,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,rad_mean,rad_sd,umid_mean,umid_sd,.geo
1_1_0000000000000000000d_0,-28.709167,-49.409071,41,ciclo1,37.75000000000006,25.380863636363657,11.07000000000005,5.4291507103736985,0.7145,0.6294797101449278,0.5051,0.04823101287361064,111.13409,4.765551,0.0,12.443159119308033,13.40159361650239,5.70681812003399,81.69517860842151,7.084957136470539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42979850867667,-28.7236312097217]}"
1_1_0000000000000000000e_0,-28.619987,-49.59011,47,ciclo1,33.75000000000006,19.960776255707795,7.03000000000003,5.068177091630662,0.9155000000000001,0.8589478260869563,0.5631,0.05561030977476444,113.32234,5.2040625,0.0,13.052295702271929,13.389996911479537,5.7367361398355445,82.76021750812454,8.141408596824371,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.609461565500574,-28.633799681309746]}"
1_1_0000000000000000000f_0,-28.621879,-49.408916,49,ciclo1,36.81,24.1384353741497,9.870000000000005,5.431899360124572,0.7498,0.6811072463768117,0.6053000000000001,0.03736899559190446,94.383224,4.8711553,0.0,12.026881547916846,13.310298484082288,5.74024842911109,81.93053212505208,7.19859259867029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42979850867667,-28.633799681309746]}"
1_1_00000000000000000010_0,-28.617853,-49.315469,50,ciclo1,37.01000000000005,24.54815602836883,12.670000000000016,5.138251434626594,0.7915000000000001,0.6940101449275364,0.5787,0.047725863145912116,100.60956,4.6613684,0.0,11.57180611019179,13.127859344356235,5.607845031125535,81.30103718235698,7.2220593650487555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.29505121605874,-28.633799681309746]}"
1_1_00000000000000000011_0,-28.6193,-49.232084,51,ciclo1,36.73000000000002,24.911031941031965,11.330000000000041,5.047150062245318,0.7726000000000001,0.6876768115942029,0.5943,0.04507170501248713,100.60956,4.6613684,0.0,11.57180611019179,13.127859344356235,5.607845031125535,81.30103718235698,7.2220593650487555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.25013545185276,-28.633799681309746]}"
1_1_00000000000000000012_0,-28.529238,-49.497344,58,ciclo1,32.210000000000036,21.002879120879168,7.8700000000000045,4.936993997630571,0.8866,0.8346202898550728,0.6503,0.03747347885247524,104.78226,5.0506115,0.0,11.89771951401818,13.218038129744382,5.72494960595718,82.57539419270536,7.874501817396476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.51963003708862,-28.543968152897794]}"
1_1_00000000000000000013_0,-28.526374,-49.412979,59,ciclo1,33.55000000000001,22.19298056155511,5.7900000000000205,4.950102882371065,0.9049,0.8427057971014494,0.6444000000000001,0.03880311090194705,93.1545,4.8861217,0.0,11.889214868425038,13.128343941616505,5.711291344733465,82.20747431757074,7.43134679697816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42979850867667,-28.543968152897794]}"
1_1_00000000000000000014_0,-28.43901,-49.947676,69,ciclo1,31.470000000000027,18.93753398058255,3.1100000000000136,5.705889508551395,0.8461000000000001,0.7741333333333331,0.6869000000000001,0.044694789978343454,93.367676,5.0973926,0.0,11.705312446875842,13.645412173580006,5.855610695932238,81.10008644685452,9.324566172576239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.968787679148384,-28.45413662448584]}"
1_1_00000000000000000015_0,-28.437969,-49.858788,70,ciclo1,31.410000000000025,18.76949903660888,3.990000000000009,5.649527384831832,0.8340000000000001,0.7567347826086953,0.6641,0.04821339288972015,97.34344,5.218947,0.0,12.181022010169958,13.615505039333417,5.841213115809479,81.69336083403527,9.119143430092988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.87895615073643,-28.45413662448584]}"
1_1_00000000000000000016_0,-28.443679,-49.498729,74,ciclo1,31.670000000000016,19.187222222222253,5.03000000000003,5.179137607558235,0.8857,0.7878840579710145,0.25670000000000004,0.11557077964680679,102.8678,5.042797,0.0,11.933922619763154,13.218038129744382,5.72494960595718,82.57539419270536,7.874501817396476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.51963003708862,-28.45413662448584]}"
